year,title,doc
2009,Psychologists and interrogations: Ethical dilemmas in times of war,<title>Psychologists and interrogations: Ethical dilemmas in times of war</title>
2009,Discriminatory referrals: Uncovering a potential ethical dilemma facing practitioners,<title>Discriminatory referrals: Uncovering a potential ethical dilemma facing practitioners</title>
2009,Social Learning Mechanisms and Cumulative Cultural Evolution: Is Imitation Necessary?,<title>Social Learning Mechanisms and Cumulative Cultural Evolution: Is Imitation Necessary?</title>
2009,A methodology for assessing safety programs targeting human error in aviation,<title>A methodology for assessing safety programs targeting human error in aviation</title>
2009,Measuring expertise in weather-related aeronautical risk perception: The validity of the Cochran-Weiss-Shanteau (CWS) index,<title>Measuring expertise in weather-related aeronautical risk perception: The validity of the Cochran-Weiss-Shanteau (CWS) index</title>
2009,Examining effects of instrument flight instruction on noninstrument -rated pilots' flight proficiency,<title>Examining effects of instrument flight instruction on noninstrument -rated pilots' flight proficiency</title>
2009,Certified flight instructor weather training: Perspectives and practices,<title>Certified flight instructor weather training: Perspectives and practices</title>
2009,Predicting professional success of air traffic control personnel from their personality profile at admission to Ab initio training,<title>Predicting professional success of air traffic control personnel from their personality profile at admission to Ab initio training</title>
2009,The American psychological association graduate student ethics prize,<title>The American psychological association graduate student ethics prize</title>
2009,"Stimulus Type, Level of Categorization, and Spatial-Frequencies Utilization: Implications for Perceptual Categorization Hierarchies","<title>Stimulus Type, Level of Categorization, and Spatial-Frequencies Utilization: Implications for Perceptual Categorization Hierarchies</title>"
2009,Pilot support interface for three-degree decelerating approach procedures,<title>Pilot support interface for three-degree decelerating approach procedures</title>
2009,Ethical considerations when working with older adults in psychology,<title>Ethical considerations when working with older adults in psychology</title>
2009,Mental workload in aircraft and simulator during basic civil aviation training,<title>Mental workload in aircraft and simulator during basic civil aviation training</title>
2009,The wrong Wright stuff: Mapping human error in aviation,<title>The wrong Wright stuff: Mapping human error in aviation</title>
2009,Making risks visible: Identifying and interpreting threats to airline flight safety,<title>Making risks visible: Identifying and interpreting threats to airline flight safety</title>
2009,Predicting pilot task demand load during final approach,<title>Predicting pilot task demand load during final approach</title>
2009,"The effects of sleep deprivation on flight performance, instrument scanning, and physiological arousal in pilots","<title>The effects of sleep deprivation on flight performance, instrument scanning, and physiological arousal in pilots</title>"
2009,Exploring the equivalence of the aviation gender attitude questionnaire for South African and Australian pilots: A cross-cultural comparison,<title>Exploring the equivalence of the aviation gender attitude questionnaire for South African and Australian pilots: A cross-cultural comparison</title>
2009,The 1g mental model invoked by General Aviation pilots and its implication in inadvertent stalls,<title>The 1g mental model invoked by General Aviation pilots and its implication in inadvertent stalls</title>
2009,Comparing the accuracy of performing digital and paper checklists using a feedback package during normal workload conditions in simulated flight,<title>Comparing the accuracy of performing digital and paper checklists using a feedback package during normal workload conditions in simulated flight</title>
2009,The ethics of psychology's role in politics and the development and institution of social policy,<title>The ethics of psychology's role in politics and the development and institution of social policy</title>
2009,"Synthetic vision: Application areas, rationale, implementation, and results","<title>Synthetic vision: Application areas, rationale, implementation, and results</title>"
2009,The impact of civil aviation pilot's personality character and competency on organizational commitment,<title>The impact of civil aviation pilot's personality character and competency on organizational commitment</title>
2009,Selling air power: Military aviation and American popular culture after world war II,<title>Selling air power: Military aviation and American popular culture after world war II</title>
